ID,CITY,LATITUDE,LONGITUDE
1,Hyderabad,17.3850° N,78.4867° E
2,Vishakapatnam,17.6868° N,83.2185° E
3,Surat,21.1702° N,72.8311° E
4,Banglore Urban,12.9700° N,77.6536° E
5,Ernakulam,9.9816° N,76.2999° E
6,Bhopal,23.2599° N,77.4126° E
7,Indore,22.7196° N,75.8577° E
8,jabalpur,23.1815° N,79.9864° E
9,Mumbai,19.0176° N,72.8561° E
10,Nagpur,21.1458° N,79.0882° E
11,Nashik,19.9975° N,73.7898° E
12,Pune,18.5204° N,73.8567° E
13,Jaipur,26.9124° N,75.7873° E
14,Chennai,13.0827° N,80.2707° E
15,Coimbatore,11.0168° N,76.9558° E
16,Kolkata,22.5726° N,88.3639° E
17,Delhi,28.7041° N,77.1025° E
18,Patna,25.5941° N,85.1376° E
19,Meerut,28.9845° N,77.7064° E